state,year,act_composite,act_english,act_math,act_participation,act_reading,act_science,sat_ebrw,sat_math,sat_participation,sat_total
Louisiana,2017,19.5,19.4,18.8,100,19.8,19.6,611,586,4,1198
Maine,2017,24.3,24.2,24.0,8,24.8,23.7,513,499,95,1012
Maryland,2017,23.6,23.3,23.1,28,24.2,2.3,536,524,69,1060
Massachusetts,2017,25.4,25.4,25.3,29,25.9,24.7,555,551,76,1107
Michigan,2017,24.1,24.1,23.7,29,24.5,23.8,509,495,100,1005
Minnesota,2017,21.5,20.4,21.5,100,21.8,21.6,644,651,3,1295
Mississippi,2017,18.6,18.2,18.1,100,18.8,18.8,634,607,2,1242
Missouri,2017,20.4,19.8,19.9,100,20.8,20.5,640,631,3,1271
Montana,2017,20.3,19.0,20.2,100,21.0,20.5,605,591,10,1196
Nebraska,2017,21.4,20.9,20.9,84,21.9,21.5,629,625,3,1253
Nevada,2017,17.8,16.3,18.0,100,18.1,18.2,563,553,26,1116
New Hampshire,2017,25.5,25.4,25.1,18,26.0,24.9,532,520,96,1052
New Jersey,2017,23.9,23.8,23.8,34,24.1,23.2,530,526,70,1056
New Mexico,2017,19.7,18.6,19.4,66,20.4,20.0,577,561,11,1138
New York,2017,24.2,23.8,24.0,31,24.6,23.9,528,523,67,1052
North Carolina,2017,19.1,17.8,19.3,100,19.6,19.3,546,535,49,1081
North Dakota,2017,20.3,19.0,20.4,98,20.5,20.6,635,621,2,1256
Ohio,2017,22.0,21.2,21.6,75,22.5,22.0,578,570,12,1149
Oklahoma,2017,19.4,18.5,18.8,100,20.1,19.6,530,517,7,1047
Oregon,2017,21.8,21.2,21.5,40,22.4,21.7,560,548,43,1108
Pennsylvania,2017,23.7,23.4,23.4,23,24.2,23.3,540,531,65,1071
Rhode Island,2017,24.0,24.0,23.3,21,24.7,23.4,539,524,71,1062
South Carolina,2017,18.7,17.5,18.6,100,19.1,18.9,543,521,50,1064
South Dakota,2017,21.8,20.7,21.5,80,22.3,22.0,612,603,3,1216
Tennessee,2017,19.8,19.5,19.2,100,20.1,19.9,623,604,5,1228
Texas,2017,20.7,19.5,20.7,45,21.1,20.9,513,507,62,1020
Utah,2017,20.3,19.5,19.9,100,20.8,20.6,624,614,3,1238
Vermont,2017,23.6,23.3,23.1,29,24.4,23.2,562,551,60,1114
Virginia,2017,23.8,23.5,23.3,29,24.6,23.5,561,541,65,1102
Washington,2017,21.9,20.9,21.9,29,22.1,22.0,541,534,64,1075
West Virginia,2017,20.4,20.0,19.4,69,21.2,20.5,558,528,14,1086
Wisconsin,2017,20.5,19.7,20.4,100,20.6,20.9,642,649,3,1291
Wyoming,2017,20.2,19.4,19.8,100,20.8,20.6,626,604,3,1230
